70.25	68.91	-84.28	-36.90
70.25	67.46	-80.61	-31.43
70.24	63.33	-70.21	-16.04
70.24	56.54	-53.47	8.52
70.24	47.12	-31.01	41.16
70.24	47.12	-31.01	41.16
70.23	34.93	-4.02	52.59
70.22	20.59	19.63	44.18
70.21	4.33	37.61	22.91
70.20	-13.62	47.67	-3.57
70.20	-33.22	47.67	-27.51
70.20	-53.63	35.85	-40.44
70.20	-74.61	13.87	-32.94
70.19	-95.15	-7.76	-25.13
